select_box,parent_product_id,product_id,search_term,cluster_id,inf_config,kw-prediction_iteration_selected,kw-target_rank,kw-estimated_additional_sales,kw-estimated_additional_loss,kw-total_soft_score,kw-total_hard_score,sr_rc-prediction_iteration_selected,sr_rc-target_rank,sr_rc-estimated_additional_sales,sr_rc-estimated_additional_loss,sr_rc-total_soft_score,sr_rc-total_hard_score,kw_sr_rc-prediction_iteration_selected,kw_sr_rc-target_rank,kw_sr_rc-estimated_additional_sales,kw_sr_rc-estimated_additional_loss,kw_sr_rc-total_soft_score,kw_sr_rc-total_hard_score,pr-prediction_iteration_selected,pr-target_rank,pr-estimated_additional_sales,pr-estimated_additional_loss,pr-total_soft_score,pr-total_hard_score,total_soft_score_product,color_code,biz_configuration_id,session_id
FALSE,B0BVGKTF15,B0B15NZVJR,anti fog glass cleaner,6,sr_rc,96,1,138.85,0,0.35,-1.04,40,65.38,0.09,703.69,0,-2.97,74,1,138.85,1321.01,0,-1.97,1,72,0,0,0,-2.96,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,anti fog glasses cleaner,6,sr_rc,72,1,143.31,0,2.23,-1.01,47,51.86,0.15,830.26,0,-2.97,53,1,143.31,938.88,0,-1.94,1,59,0,0,0,-2.96,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,anti fog lens cleaner,6,sr_rc,48,1,124.93,0,3.53,-1.14,40,41.31,0.21,703.69,0,-2.97,39,1,124.93,685.62,0,-2.07,1,48,0,0,0,-2.96,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eye glasses cleaner wipes anti fog,6,sr_rc,80,1,166.67,0,1.8,-1,40,48.53,0.19,703.69,0,-2.94,59,1,166.67,1047.67,0,-1.75,1,55,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,anti fog goggle spray,7,sr_rc,100,39.76,1.49,0,0,-1.88,40,63.59,0.14,703.69,0,-1.97,100,31.24,2.57,1923,0,-1.91,1,68,0,0,0,-1.96,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,anti glare spray,8,sr_rc,16,1,37.71,0,1.68,-1.74,100,2.44,11.18,1923,0,-2.86,16,1,37.71,270.45,0,-2.49,1,12,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,anti smudge for eyeglasses,9,sr_rc,59,1,205.87,0,4.86,-1,40,29.73,0.64,703.69,0,-2.97,44,1,205.87,776,0,-1.93,1,36,0,0,0,-2.96,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,antifog for glasses,10,sr_rc,28,111.35,0.09,0,0,-2.89,40,145.79,0.01,703.69,0,-2.97,33,101.7,0.12,577.24,0,-2.93,1,152,0,0,0,-2.96,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,antifog spray for glasses,10,sr_rc,79,1,160.18,0,1.91,-1,40,54.93,0.09,703.69,0,-2.94,65,1,160.18,1156.7,0,-1.75,1,59,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,antifog lens spray,11,sr_rc,80,1,1608.68,0,16.8,-1,40,56.76,1.45,703.69,0,-2.96,60,1,1608.68,1065.82,0,-1.93,1,64,0,0,0,-2.96,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,antifog spray,11,sr_rc,100,55.03,1.87,0,0,-1.88,98,96.03,0.24,1804.72,0,-1.97,100,41.86,3.2,1923,0,-1.91,1,109,0,0,0,-1.96,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,best eye glass cleaner,12,sr_rc,5,1,126.99,0,6.53,-1.12,46,1.01,125.29,812.17,0,-2.08,4,1.15,105,54.08,0,-2.03,1,8,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,best eye glasses cleaner,12,sr_rc,5,1,1037.16,0,53.77,-1,47,1,1037.16,830.26,0,-1.94,5,1,1037.16,72.1,0.77,-1.75,1,8,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,best glasses cleaner,12,sr_rc,6,1,131.53,0,6.87,-1.09,34,1,131.53,595.29,0,-2.03,6,1,131.53,90.13,0,-1.84,1,7,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eye glass cleaner best,12,sr_rc,4,1,753.6,0,43.01,-1,27,1,753.6,468.91,0,-1.94,4,1,753.6,54.08,0.64,-1.75,1,5,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,the best eye glasses cleaner,12,sr_rc,6,1,204.55,0,10.38,-1,69,1.01,201.85,1229.58,0,-1.94,6,1,204.55,90.13,0.19,-1.75,1,9,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,camera lens cleaner,13,sr_rc,71,1.99,1043.49,0,18.11,0,40,49.21,3.57,703.69,0,-1.92,52,1,2487.67,920.77,0.11,-0.75,1,58,0,0,0,-1.89,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,camera lens cleaning solution,14,sr_rc,8,1,137.25,0,6.77,-1.05,94,1,137.25,1702.5,0,-1.99,8,1,137.25,126.19,0,-1.8,1,13,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,lens cleaning solution,14,sr_rc,9,1,320.38,0,16.73,-1,81,1,320.38,1450.07,0,-1.97,9,1,320.38,144.22,0.19,-1.82,1,11,0,0,0,-2.96,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,clean glasses wipes,15,sr_rc,98,16.44,9.08,0,0.01,-1.94,47,67.59,0.22,830.26,0,-2.94,98,6.02,35.92,1804.72,0,-2.5,1,75,0,0,0,-2.89,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eye glass wipes lens cleaning,15,sr_rc,78,21.64,8.24,0,0.1,-1.94,37,63.79,0.3,649.48,0,-2.94,78,12.63,18.53,1394.55,0,-2.62,1,70,0,0,0,-2.89,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,glasses cleaning wipes,15,sr_rc,22,154.62,1.04,0,0,-1.99,44,178.79,0.2,776,0,-2.94,33,140.2,1.7,577.24,0,-2.74,1,186,0,0,0,-2.89,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,wipes for glasses,15,sr_rc,39,82.03,3.25,0,0.13,-1.98,44,123.51,0.28,776,0,-2.94,39,76.34,3.95,685.62,0,-2.72,1,130,0,0,0,-2.89,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,clear view lens cleaner,16,sr_rc,11,1,762.66,0,39.55,-1,47,6.89,41.7,830.26,0,-2.69,11,1,762.66,180.28,0.19,-1.88,1,14,0,0,0,-2.98,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,clear view lens cleaner spray,16,sr_rc,5,1,268.01,0,12.83,-1,54,1,268.01,957,0,-1.98,5,1,268.01,72.1,0.17,-1.88,1,8,0,0,0,-2.98,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,clear vision glass cleaner,17,sr_rc,38,1,1012.91,0,32.8,-1,39,18.11,9.16,685.62,0,-2.88,25,1,1012.91,432.82,0.14,-1.75,1,25,0,0,0,-2.89,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,cloth to clean eye glasses,18,sr_rc,15,63.77,0.61,0,0,-2,36,81.37,0.13,631.42,0,-2.94,65,32.3,3.06,1156.7,0,-2.73,1,88,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eye glass cleaning,18,sr_rc,10,1,278.65,0,13.58,-1,44,10.45,7.52,776,0,-2.89,10,1,278.65,162.25,0,-1.75,1,18,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eye glass cloths for cleaning,18,sr_rc,18,70.08,1.05,0,0,-1.99,17,101.48,0.07,288.49,0,-2.94,18,66.39,1.24,306.53,0,-2.74,1,105,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eye glasses microfiber cleaning cloths,18,sr_rc,17,110.12,0.12,0,0,-2,36,128.27,0.02,631.42,0,-2.94,38,86.05,0.33,667.55,0,-2.75,1,134,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,micro fiber cloth for cleaning eye glasses,18,sr_rc,75,26.39,2.11,0,0.05,-1.98,31,79.26,0.05,541.12,0,-2.94,75,19.05,3.49,1339.36,0,-2.73,1,84,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
