select_box,parent_product_id,product_id,search_term,cluster_id,inf_config,kw-prediction_iteration_selected,kw-target_rank,kw-estimated_additional_sales,kw-estimated_additional_loss,kw-total_soft_score,kw-total_hard_score,sr_rc-prediction_iteration_selected,sr_rc-target_rank,sr_rc-estimated_additional_sales,sr_rc-estimated_additional_loss,sr_rc-total_soft_score,sr_rc-total_hard_score,kw_sr_rc-prediction_iteration_selected,kw_sr_rc-target_rank,kw_sr_rc-estimated_additional_sales,kw_sr_rc-estimated_additional_loss,kw_sr_rc-total_soft_score,kw_sr_rc-total_hard_score,pr-prediction_iteration_selected,pr-target_rank,pr-estimated_additional_sales,pr-estimated_additional_loss,pr-total_soft_score,pr-total_hard_score,total_soft_score_product,color_code,biz_configuration_id,session_id
FALSE,B0DJVW3XQ8,B08LQXR6WK,6 inch recessed lights,1,kw,27,1,15930.85,0,147.06,-1.71,32,16.69,120.55,247.84,0,-2.85,23,1,15930.85,175.81,0.87,-1.91,1,21,0,0,0,-2.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,led recessed lighting 6 inch,1,kw,38,1,14374.16,0,105.97,-1.81,34,20.79,67.87,263.86,0,-2.91,33,1,14374.16,255.85,0.43,-1.93,1,25,0,0,0,-2.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DJVW3XQ8,B08LQXR6WK,6inch recessed led lights,1,kw,19,1,5577.05,0,61.98,-0.98,97,5.15,513.74,798.32,0,-2.48,17,1,5577.05,127.83,0.38,-1.91,1,13,0,0,0,-2.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,6 inch recessed lighting led,1,kw,33,1,7859.99,0,60.57,-1.87,32,17.95,48.79,247.84,0,-2.92,30,1,7859.99,231.82,0.29,-1.94,1,22,0,0,0,-2.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DJVW3XQ8,B08LQXR6WK,6 inch can lights,1,kw,21,1,3205.87,0,31.89,-0.78,32,21.96,13.06,247.84,0,-2.76,18,1,3205.87,135.82,0.18,-1.74,1,26,0,0,0,-2.77,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,6 inch led recessed lighting,1,kw,32,1,3153.29,0,27.05,-1.87,50,12.74,47.23,392.24,0,-2.93,28,1,3153.29,215.81,0.16,-1.93,1,18,0,0,0,-2.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,recessed lights 6 inch,1,kw,27,1,2965.34,0,25.85,-1.81,32,17.92,18.58,247.84,0,-2.95,23,1,2965.34,175.81,0.17,-1.94,1,22,0,0,0,-2.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,canless led recessed light 6 inch,1,kw,30,1,2351.21,0,21.08,0,29,20.22,10.78,223.82,0,-1.98,25,1,2351.21,191.81,0.16,-0.93,1,24,0,0,0,-1.99,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0DJVW3XQ8,B08LQXR6WK,6 inch recessed led light,1,kw,23,1,1808.63,0,20.1,-0.98,98,5.02,174.5,815.31,0,-2.8,20,1,1808.63,151.81,0.19,-1.93,1,13,0,0,0,-2.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0DJVW3XQ8,B08LQXR6WK,led 6 inch recessed lighting,1,kw,33,1,2075.09,0,18.44,-1.81,34,17.35,15.37,263.86,0,-2.95,29,1,2075.09,223.82,0.17,-1.93,1,22,0,0,0,-2.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
